"player"	"number"	"team"	"league"	"nationality"	"region"	"height"	"weight"	"age"	"foot"	"position"	"attacking"	"ball_control"	"dribbling"	"low_pass"	"air_pass"	"finishing"	"place_kicking"	"swerve"	"header"	"defensive"	"ball_winning"	"kicking_power"	"speed"	"explosive_power"	"unwavering_balance"	"physical_contact"	"jump"	"goalkeeping"	"gk_catch"	"clearing"	"reflexes"	"coverage"	"stamina"	"weak_foot_usage"	"weak_foot_accuracy"	"form"	"injury_resistance"	"overall"
"RASHED ALI"	"50"	"AL WAHDA"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"179"	"76"	"29"	"Right foot"	"GK"	"42"	"58"	"60"	"58"	"60"	"40"	"55"	"45"	"60"	"65"	"50"	"67"	"59"	"58"	"65"	"62"	"65"	"70"	"68"	"68"	"70"	"70"	"56"	"2"	"2"	"4"	"2"	"60"
"K. EBRAHEIM"	"19"	"AL WAHDA"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"175"	"70"	"21"	"Right foot"	"RB"	"60"	"62"	"64"	"66"	"64"	"45"	"58"	"64"	"62"	"62"	"64"	"66"	"68"	"70"	"68"	"65"	"70"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"60"
"M. SATTARI"	"33"	"ZOB AHAN"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"180"	"70"	"25"	"Left foot"	"LB"	"60"	"64"	"62"	"66"	"64"	"45"	"56"	"60"	"64"	"65"	"65"	"66"	"66"	"68"	"68"	"65"	"68"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"60"
"E. ALVANZADEH"	"25"	"PERSEPOLIS"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"175"	"68"	"24"	"Left foot"	"LWF"	"70"	"65"	"67"	"62"	"60"	"63"	"58"	"56"	"60"	"58"	"53"	"66"	"70"	"72"	"64"	"60"	"63"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"4"	"2"	"60"
"A. DARVISHVAND"	"12"	"PERSEPOLIS"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"194"	"80"	"21"	"Right foot"	"GK"	"42"	"43"	"45"	"57"	"59"	"40"	"46"	"45"	"70"	"62"	"51"	"63"	"58"	"58"	"63"	"70"	"65"	"69"	"68"	"69"	"68"	"70"	"57"	"2"	"2"	"4"	"2"	"60"
"A. ANAD"	"26"	"AL RAYYAN"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"170"	"68"	"23"	"Right foot"	"CMF"	"65"	"65"	"66"	"66"	"64"	"58"	"62"	"65"	"57"	"60"	"62"	"68"	"67"	"68"	"70"	"65"	"70"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"60"
"YU HAO"	"36"	"SHANGHAI SIPG"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"185"	"67"	"21"	"Right foot"	"CB"	"61"	"61"	"62"	"60"	"65"	"55"	"56"	"60"	"64"	"70"	"69"	"67"	"70"	"70"	"61"	"69"	"66"	"40"	"40"	"40"	"40"	"40"	"67"	"2"	"2"	"4"	"2"	"60"
"SU YUANJIE"	"17"	"TIANJIN QUANJIAN"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"180"	"72"	"23"	"Right foot"	"CF"	"68"	"68"	"66"	"65"	"62"	"67"	"58"	"62"	"66"	"56"	"45"	"70"	"66"	"66"	"64"	"66"	"70"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"ABDALLA RAMADAN"	"28"	"AL JAZIRA"	"AFC Champions League"	"EGYPT"	"Africa"	"175"	"69"	"20"	"Right foot"	"CMF"	"65"	"67"	"68"	"65"	"64"	"59"	"68"	"68"	"62"	"58"	"58"	"65"	"67"	"66"	"65"	"65"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"KHALIFA MUBARAK"	"52"	"AL JAZIRA"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"170"	"68"	"20"	"Right foot"	"LMF"	"68"	"65"	"67"	"65"	"62"	"63"	"68"	"68"	"57"	"58"	"57"	"68"	"70"	"66"	"69"	"64"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"A. BAHARVAND"	"39"	"PERSEPOLIS"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"179"	"68"	"20"	"Right foot"	"RMF"	"65"	"67"	"68"	"68"	"69"	"59"	"68"	"62"	"60"	"58"	"58"	"65"	"67"	"66"	"65"	"65"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"SALEM ABDULLAH"	"16"	"AL WAHDA"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"170"	"68"	"20"	"Right foot"	"CMF"	"65"	"69"	"65"	"62"	"69"	"59"	"68"	"68"	"61"	"58"	"52"	"67"	"67"	"66"	"65"	"65"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"SUROUR MASOUD"	"18"	"AL WASL"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"177"	"68"	"25"	"Right foot"	"CB"	"59"	"60"	"61"	"65"	"62"	"45"	"65"	"62"	"64"	"69"	"68"	"65"	"69"	"62"	"66"	"68"	"67"	"40"	"40"	"40"	"40"	"40"	"67"	"2"	"2"	"4"	"2"	"60"
"ALI SALEH"	"99"	"AL WASL"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"170"	"68"	"18"	"Right foot"	"CF"	"70"	"67"	"66"	"63"	"61"	"67"	"64"	"63"	"62"	"56"	"45"	"67"	"71"	"65"	"65"	"67"	"62"	"40"	"40"	"40"	"40"	"40"	"71"	"2"	"2"	"4"	"2"	"60"
"K. AL SHAIBANI"	"13"	"AL WASL"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"170"	"63"	"21"	"Right foot"	"CMF"	"63"	"64"	"66"	"67"	"64"	"59"	"59"	"64"	"57"	"61"	"61"	"65"	"74"	"68"	"72"	"67"	"65"	"40"	"40"	"40"	"40"	"40"	"67"	"2"	"2"	"4"	"2"	"60"
"FARIS KHALIL"	"20"	"AL WASL"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"177"	"61"	"18"	"Right foot"	"CB"	"59"	"64"	"60"	"64"	"60"	"45"	"61"	"66"	"67"	"72"	"65"	"68"	"67"	"62"	"67"	"71"	"64"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"JEONG DA-HOOEON"	"2"	"JEJU UNITED"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"181"	"78"	"31"	"Right foot"	"RB"	"59"	"60"	"61"	"65"	"69"	"45"	"61"	"62"	"68"	"71"	"64"	"69"	"63"	"62"	"71"	"68"	"67"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"MOON KWANG-SEOK"	"31"	"JEJU UNITED"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"187"	"82"	"20"	"Right foot"	"GK"	"42"	"58"	"56"	"61"	"64"	"40"	"55"	"45"	"62"	"65"	"51"	"69"	"59"	"62"	"65"	"71"	"70"	"69"	"70"	"66"	"71"	"66"	"56"	"2"	"2"	"4"	"2"	"60"
"KIM KI-YOUNG"	"3"	"ULSAN HYUNDAI FC"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"170"	"68"	"22"	"Right foot"	"CB"	"59"	"60"	"61"	"65"	"69"	"45"	"61"	"62"	"68"	"68"	"64"	"69"	"65"	"65"	"68"	"68"	"69"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"4"	"2"	"60"
"LEE JAE-SUNG"	"15"	"JEONBUK HYUNDAI MOTORS"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"187"	"75"	"30"	"Right foot"	"CB"	"59"	"60"	"61"	"65"	"69"	"45"	"61"	"62"	"70"	"68"	"64"	"69"	"63"	"62"	"68"	"68"	"67"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"4"	"2"	"60"
"G. GAYBULLAEV"	"5"	"NASAF"	"AFC Champions League"	"UZBEKISTAN"	"Asia-Oceania"	"180"	"78"	"22"	"Right foot"	"CB"	"56"	"64"	"60"	"66"	"64"	"45"	"56"	"60"	"67"	"68"	"68"	"70"	"65"	"65"	"66"	"70"	"70"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"5"	"2"	"60"
"I. KENJABAEV"	"20"	"NASAF"	"AFC Champions League"	"UZBEKISTAN"	"Asia-Oceania"	"180"	"78"	"19"	"Right foot"	"RWF"	"66"	"68"	"68"	"66"	"62"	"66"	"62"	"66"	"64"	"56"	"45"	"67"	"68"	"68"	"63"	"63"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"A. MOZGOVOY"	"38"	"NASAF"	"AFC Champions League"	"UZBEKISTAN"	"Asia-Oceania"	"180"	"78"	"18"	"Right foot"	"CMF"	"58"	"64"	"66"	"66"	"65"	"57"	"55"	"65"	"64"	"62"	"64"	"68"	"66"	"66"	"65"	"68"	"68"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"5"	"2"	"60"
"I. ALIJANOV"	"33"	"NASAF"	"AFC Champions League"	"UZBEKISTAN"	"Asia-Oceania"	"181"	"84"	"20"	"Right foot"	"CB"	"57"	"64"	"62"	"66"	"64"	"45"	"55"	"62"	"68"	"70"	"68"	"69"	"63"	"62"	"66"	"72"	"68"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"60"
"R. MAIKAMI"	"26"	"BURIRAM UNITED"	"AFC Champions League"	"THAILAND"	"Asia-Oceania"	"174"	"65"	"20"	"Right foot"	"DMF"	"60"	"67"	"63"	"64"	"64"	"55"	"68"	"68"	"61"	"62"	"66"	"63"	"61"	"66"	"65"	"65"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"M. AL NAIMI"	"5"	"AL DUHAIL"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"170"	"68"	"18"	"Right foot"	"CB"	"53"	"60"	"61"	"65"	"62"	"45"	"52"	"52"	"68"	"67"	"69"	"65"	"75"	"71"	"62"	"68"	"69"	"40"	"40"	"40"	"40"	"40"	"69"	"1"	"1"	"4"	"2"	"60"
"Š. GREGOV"	"5"	"TRACTORSAZI TABRIZ"	"AFC Champions League"	"CROATIA"	"Europe"	"189"	"84"	"29"	"Right foot"	"CB"	"54"	"60"	"61"	"73"	"62"	"45"	"61"	"62"	"68"	"73"	"67"	"69"	"63"	"62"	"68"	"74"	"64"	"40"	"40"	"40"	"40"	"40"	"69"	"1"	"1"	"4"	"2"	"60"
"A. ESMAEILI"	"40"	"TRACTORSAZI TABRIZ"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"184"	"68"	"22"	"Right foot"	"CB"	"50"	"57"	"57"	"61"	"56"	"45"	"53"	"56"	"63"	"72"	"71"	"69"	"65"	"65"	"68"	"68"	"69"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"M. AZADI"	"19"	"TRACTORSAZI TABRIZ"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"188"	"68"	"19"	"Right foot"	"CF"	"69"	"67"	"70"	"65"	"57"	"66"	"60"	"59"	"62"	"42"	"42"	"67"	"78"	"78"	"63"	"63"	"68"	"40"	"40"	"40"	"40"	"40"	"69"	"2"	"2"	"5"	"2"	"60"
"M. BAHRAMI"	"22"	"TRACTORSAZI TABRIZ"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"192"	"68"	"20"	"Right foot"	"GK"	"42"	"58"	"60"	"58"	"60"	"40"	"55"	"45"	"70"	"65"	"51"	"67"	"59"	"58"	"63"	"63"	"65"	"71"	"71"	"67"	"65"	"72"	"56"	"2"	"2"	"4"	"2"	"60"
"KIM DONG-JIN"	"38"	"KITCHEE"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"184"	"78"	"36"	"Left foot"	"LB"	"67"	"60"	"61"	"65"	"69"	"58"	"57"	"65"	"62"	"68"	"63"	"69"	"69"	"67"	"68"	"61"	"57"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"TARRÉS JORDI"	"14"	"KITCHEE"	"AFC Champions League"	"HONG KONG"	"Asia-Oceania"	"180"	"72"	"37"	"Right foot"	"CF"	"71"	"64"	"67"	"61"	"57"	"70"	"64"	"62"	"65"	"52"	"45"	"71"	"68"	"67"	"63"	"66"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"DANIEL CANCELA"	"3"	"KITCHEE"	"AFC Champions League"	"HONG KONG"	"Asia-Oceania"	"176"	"71"	"37"	"Right foot"	"LB"	"63"	"60"	"61"	"65"	"69"	"54"	"58"	"59"	"63"	"68"	"64"	"59"	"69"	"66"	"68"	"65"	"64"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"LUCAS"	"34"	"KITCHEE"	"AFC Champions League"	"BRAZIL"	"South America"	"183"	"91"	"28"	"Right foot"	"CF"	"68"	"64"	"71"	"63"	"53"	"70"	"62"	"62"	"66"	"52"	"51"	"67"	"68"	"68"	"63"	"71"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"CHAN KA SHING"	"35"	"KITCHEE"	"AFC Champions League"	"HONG KONG"	"Asia-Oceania"	"170"	"68"	"18"	"Right foot"	"CF"	"70"	"66"	"69"	"65"	"56"	"68"	"62"	"62"	"66"	"52"	"48"	"67"	"68"	"68"	"63"	"63"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"J. LUM"	"27"	"KITCHEE"	"AFC Champions League"	"AUSTRALIA"	"Asia-Oceania"	"176"	"72"	"26"	"Right foot"	"AMF"	"65"	"67"	"68"	"68"	"69"	"64"	"59"	"61"	"60"	"54"	"61"	"65"	"67"	"66"	"65"	"61"	"62"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"Z. LAM"	"29"	"KITCHEE"	"AFC Champions League"	"GERMANY"	"Europe"	"175"	"67"	"27"	"Right foot"	"RMF"	"65"	"67"	"68"	"68"	"69"	"59"	"68"	"68"	"61"	"55"	"65"	"64"	"67"	"66"	"65"	"65"	"60"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"60"
"WEN JUNJIE"	"31"	"TIANJIN QUANJIAN"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"184"	"68"	"21"	"Right foot"	"CB"	"57"	"62"	"62"	"65"	"62"	"45"	"55"	"62"	"68"	"67"	"66"	"68"	"65"	"64"	"64"	"72"	"68"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"60"
"A. GHAREEB"	"29"	"AL AHLI"	"AFC Champions League"	"SAUDI ARABIA"	"Asia-Oceania"	"174"	"68"	"21"	"Right foot"	"CF"	"68"	"64"	"67"	"65"	"57"	"71"	"62"	"62"	"62"	"56"	"45"	"71"	"68"	"68"	"63"	"63"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"B. ELLITHI"	"65"	"AL SADD"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"170"	"68"	"19"	"Right foot"	"CMF"	"63"	"67"	"68"	"70"	"69"	"59"	"61"	"62"	"56"	"58"	"61"	"60"	"72"	"73"	"62"	"63"	"62"	"40"	"40"	"40"	"40"	"40"	"65"	"2"	"2"	"4"	"2"	"60"
"KHALID MUBARAK"	"41"	"AL SADD"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"170"	"68"	"20"	"Right foot"	"CB"	"56"	"60"	"61"	"61"	"62"	"43"	"59"	"57"	"68"	"70"	"69"	"65"	"73"	"73"	"61"	"67"	"62"	"40"	"40"	"40"	"40"	"40"	"67"	"1"	"1"	"4"	"2"	"60"
"SONG JOON-PYUNG"	"2"	"SUWON SAMSUNG BLUEWINGS"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"174"	"66"	"22"	"Right foot"	"RB"	"59"	"60"	"61"	"65"	"69"	"45"	"61"	"62"	"68"	"68"	"64"	"69"	"66"	"66"	"68"	"68"	"64"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"60"
"T. PAYNE"	NA	"Free Agents"	"Free Agent"	"NEW ZEALAND"	"Asia-Oceania"	"179"	"73"	"24"	"Right foot"	"RMF"	"61"	"60"	"64"	"63"	"58"	"62"	"47"	"54"	"66"	"51"	"44"	"71"	"74"	"75"	"60"	"75"	"74"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"2"	"4"	"3"	"59"
"M. DEVLIN"	"18"	"ABERDEEN"	"Ladbrokes Premiership"	"SCOTLAND"	"Europe"	"188"	"80"	"25"	"Right foot"	"CB"	"52"	"63"	"57"	"61"	"55"	"50"	"50"	"52"	"73"	"64"	"65"	"60"	"52"	"58"	"58"	"82"	"73"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"5"	"2"	"59"
"S. WARMOLTS"	"33"	"EMMEN"	"Eredivisie"	"NETHERLANDS"	"Europe"	"182"	"75"	"24"	"Right foot"	"CB"	"53"	"59"	"55"	"62"	"63"	"51"	"54"	"55"	"71"	"65"	"61"	"68"	"69"	"68"	"60"	"75"	"71"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"59"
"R. STEWART"	"21"	"LIVINGSTON"	"Ladbrokes Premiership"	"SCOTLAND"	"Europe"	"188"	"71"	"23"	"Right foot"	"GK"	"42"	"50"	"47"	"52"	"54"	"45"	"45"	"44"	"60"	"57"	"47"	"69"	"57"	"61"	"73"	"60"	"69"	"68"	"65"	"70"	"68"	"69"	"60"	"2"	"2"	"4"	"3"	"59"
"E. SAAVEDRA"	NA	"Free Agents"	"Free Agent"	"BOLIVIA"	"South America"	"173"	"66"	"22"	"Right foot"	"RB"	"60"	"55"	"62"	"55"	"61"	"55"	"55"	"58"	"60"	"63"	"64"	"61"	"66"	"65"	"70"	"61"	"65"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"4"	"2"	"59"
"JOSÉ SAGREDO"	NA	"Free Agents"	"Free Agent"	"BOLIVIA"	"South America"	"180"	"67"	"24"	"Right foot"	"RB"	"64"	"62"	"63"	"62"	"59"	"53"	"43"	"50"	"61"	"66"	"68"	"60"	"72"	"70"	"60"	"65"	"62"	"40"	"40"	"40"	"40"	"40"	"61"	"2"	"2"	"2"	"2"	"59"
"E. LIEFTINK"	"6"	"WILLEM II"	"Eredivisie"	"NETHERLANDS"	"Europe"	"186"	"80"	"24"	"Left foot"	"DMF"	"64"	"63"	"64"	"69"	"69"	"62"	"56"	"60"	"61"	"57"	"57"	"70"	"63"	"64"	"69"	"76"	"56"	"40"	"40"	"40"	"40"	"40"	"63"	"1"	"2"	"5"	"2"	"59"
"E. SALLES"	"30"	"GRENOBLE FOOT 38"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"187"	"80"	"24"	"Right foot"	"GK"	"44"	"49"	"56"	"57"	"67"	"56"	"52"	"57"	"60"	"61"	"52"	"66"	"62"	"63"	"60"	"76"	"78"	"73"	"68"	"68"	"68"	"57"	"63"	"2"	"2"	"5"	"2"	"59"
"Q. LECOEUCHE"	"18"	"ORLÉANS"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"172"	"65"	"24"	"Left foot"	"LB"	"58"	"60"	"63"	"62"	"60"	"52"	"50"	"57"	"60"	"65"	"62"	"58"	"68"	"70"	"60"	"68"	"65"	"40"	"40"	"40"	"40"	"40"	"69"	"2"	"2"	"4"	"2"	"59"
"S. MARREH"	"15"	"KAS EUPEN"	"Jupiler Pro League"	"GAMBIA"	"Africa"	"184"	"73"	"22"	"Right foot"	"DMF"	"57"	"62"	"58"	"65"	"62"	"54"	"57"	"60"	"63"	"71"	"66"	"63"	"68"	"69"	"60"	"75"	"63"	"40"	"40"	"40"	"40"	"40"	"73"	"1"	"1"	"4"	"2"	"59"
"D. WYNNE"	NA	"Free Agents"	"Free Agent"	"NEW ZEALAND"	"Asia-Oceania"	"175"	"75"	"23"	"Left foot"	"LB"	"59"	"57"	"56"	"60"	"59"	"57"	"47"	"62"	"60"	"61"	"59"	"69"	"72"	"72"	"60"	"74"	"76"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"4"	"2"	"59"
"K. MELLADO"	"39"	"DEPORTES IQUIQUE"	"Campeonato Scotiabank"	"CHILE"	"South America"	"179"	"80"	"20"	"Right foot"	"CF"	"69"	"64"	"67"	"65"	"57"	"68"	"62"	"62"	"62"	"56"	"45"	"69"	"68"	"68"	"63"	"70"	"65"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"3"	"59"
"J. PEREYRA"	"3"	"SAN LUIS"	"Campeonato Scotiabank"	"URUGUAY"	"South America"	"180"	"70"	"24"	"Right foot"	"CB"	"59"	"60"	"61"	"65"	"69"	"45"	"61"	"62"	"68"	"68"	"64"	"70"	"70"	"67"	"60"	"68"	"64"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"59"
"C. LEWIS"	NA	"Free Agents"	"Free Agent"	"NEW ZEALAND"	"Asia-Oceania"	"171"	"72"	"21"	"Left foot"	"CMF"	"65"	"60"	"65"	"63"	"60"	"52"	"55"	"68"	"60"	"58"	"58"	"65"	"78"	"82"	"78"	"70"	"68"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"59"
"SAVIO"	"32"	"VITÓRIA SETÚBAL"	"Liga NOS"	"BRAZIL"	"South America"	"189"	"83"	"22"	"Right foot"	"CF"	"68"	"64"	"66"	"65"	"57"	"68"	"62"	"60"	"62"	"48"	"48"	"67"	"66"	"66"	"60"	"77"	"70"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"59"
"E. DABO"	"19"	"VALENCIENNES"	"Domino's Ligue 2"	"SENEGAL"	"Africa"	"181"	"71"	"23"	"Right foot"	"DMF"	"62"	"65"	"64"	"65"	"64"	"59"	"63"	"62"	"60"	"58"	"58"	"65"	"67"	"66"	"65"	"70"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"59"
"E. MAANANE"	"19"	"GRENOBLE FOOT 38"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"182"	"75"	"23"	"Right foot"	"CF"	"70"	"63"	"64"	"64"	"60"	"64"	"55"	"57"	"60"	"54"	"50"	"69"	"71"	"74"	"67"	"62"	"61"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"4"	"2"	"59"
"M. ESTAY"	"37"	"SAN LUIS"	"Campeonato Scotiabank"	"CHILE"	"South America"	"180"	"80"	"19"	"Right foot"	"CB"	"52"	"61"	"60"	"62"	"60"	"47"	"53"	"55"	"68"	"67"	"64"	"67"	"70"	"69"	"63"	"70"	"66"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"59"
"R. DE VOS"	"32"	"EMMEN"	"Eredivisie"	"NETHERLANDS"	"Europe"	"180"	"80"	"22"	"Right foot"	"AMF"	"65"	"65"	"63"	"72"	"67"	"59"	"56"	"60"	"61"	"60"	"62"	"66"	"71"	"67"	"73"	"70"	"61"	"40"	"40"	"40"	"40"	"40"	"62"	"2"	"2"	"4"	"2"	"59"
"L. DI YORIO"	"27"	"ALDOSIVI"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"180"	"80"	"27"	"Right foot"	"CF"	"71"	"62"	"64"	"59"	"52"	"70"	"62"	"62"	"64"	"40"	"45"	"70"	"71"	"67"	"62"	"70"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"3"	"2"	"59"
"L. GÓMEZ"	"24"	"BANFIELD"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"163"	"66"	"22"	"Right foot"	"CMF"	"71"	"64"	"67"	"69"	"57"	"68"	"62"	"62"	"62"	"56"	"50"	"67"	"68"	"68"	"66"	"75"	"68"	"40"	"40"	"40"	"40"	"40"	"63"	"2"	"2"	"4"	"2"	"59"
"V. HENRY"	"17"	"BREST"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"178"	"73"	"25"	"Right foot"	"LWF"	"65"	"68"	"65"	"69"	"65"	"59"	"53"	"55"	"60"	"58"	"58"	"67"	"71"	"70"	"53"	"70"	"63"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"59"
"T. OUDE KOTTE"	"4"	"EXCELSIOR"	"Eredivisie"	"NETHERLANDS"	"Europe"	"184"	"80"	"22"	"Left foot"	"CB"	"51"	"59"	"58"	"62"	"68"	"45"	"68"	"68"	"66"	"66"	"66"	"65"	"69"	"60"	"66"	"70"	"67"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"59"
"M. COLLAO"	"15"	"ANTOFAGASTA"	"Campeonato Scotiabank"	"CHILE"	"South America"	"180"	"80"	"28"	"Right foot"	"CMF"	"65"	"67"	"64"	"67"	"64"	"59"	"57"	"58"	"61"	"60"	"61"	"68"	"69"	"69"	"62"	"70"	"63"	"40"	"40"	"40"	"40"	"40"	"69"	"2"	"2"	"4"	"2"	"59"
"SAMUEL PÉREZ"	"26"	"CL PURPLE"	"Spanish League"	"SPAIN"	"Europe"	"191"	"76"	"21"	"Right foot"	"GK"	"42"	"58"	"60"	"58"	"60"	"40"	"55"	"45"	"70"	"65"	"51"	"67"	"59"	"58"	"63"	"70"	"65"	"69"	"69"	"65"	"73"	"65"	"56"	"2"	"2"	"4"	"2"	"59"
"DIGA"	"2"	"FEIRENSE"	"Liga NOS"	"PORTUGAL"	"Europe"	"173"	"69"	"20"	"Right foot"	"RB"	"59"	"59"	"60"	"65"	"60"	"45"	"57"	"59"	"60"	"62"	"62"	"68"	"73"	"71"	"70"	"68"	"64"	"40"	"40"	"40"	"40"	"40"	"71"	"2"	"2"	"4"	"2"	"59"
"N. TARAVEL"	"3"	"GRENOBLE FOOT 38"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"187"	"80"	"24"	"Left foot"	"CB"	"52"	"60"	"58"	"63"	"61"	"51"	"56"	"58"	"68"	"68"	"67"	"66"	"69"	"68"	"68"	"70"	"64"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"59"
"E. BOURGAUD"	"12"	"RED STAR"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"178"	"77"	"31"	"Right foot"	"RMF"	"65"	"67"	"61"	"64"	"69"	"59"	"68"	"68"	"60"	"58"	"58"	"65"	"73"	"61"	"67"	"65"	"63"	"40"	"40"	"40"	"40"	"40"	"65"	"2"	"2"	"4"	"2"	"59"
"S. PEREZ"	"25"	"PALESTINO"	"Campeonato Scotiabank"	"CHILE"	"South America"	"180"	"76"	"28"	"Right foot"	"GK"	"42"	"58"	"60"	"58"	"60"	"40"	"55"	"45"	"60"	"65"	"51"	"67"	"59"	"58"	"63"	"63"	"65"	"72"	"68"	"63"	"68"	"70"	"56"	"2"	"2"	"4"	"2"	"59"
